id,ZONE,xcoord,ycoord
"1",C6,499877.013875474,6602254.02761007
"2",P9,498648.89588651,6601837.25885877
"3",C5,500087.115521293,6602331.27665062
"4",C4,500589.603732613,6602499.4519392
"5",C3,500802.527916455,6602570.26673032
"6",C2,501267.241890238,6602735.77944325
"7",F2,500614.346061535,6602705.84919979
"8",E1,500091.874722064,6602527.35818583
"9",Z,499284.070904215,6602235.29461117
"10",C1,502069.157133963,6603027.18335605
"11",V1,501311.021616309,6602954.67496739
"12",Z1,499185.829165299,6601846.61444694
"13",Z2,499779.776149102,6602064.16557554
"14",Z3,500132.123280524,6602192.49667457
"15",Z5,500528.568491965,6602338.07694723
"16",Z6,501102.407289729,6602548.40563654
"17",Z7,501822.838653969,6602811.93568127
"18",Z8,502585.419095873,6603091.17410155
"19",Z9,503281.840155361,6603352.72665196
