id,ZONE,xcoord,ycoord
,L2,499816.019190206,6602076.99996008
"1",C6,499877.01410965,6602254.02919883
"2",P9,498648.895502295,6601837.25991007
"3",C5,500087.115280796,6602331.27729734
"4",C4,500589.603446231,6602499.45236524
"5",C3,500802.528100761,6602570.26773841
"6",C2,501267.241260637,6602735.77964473
"7",F2,500614.34705937,6602705.8498468
"8",E1,500091.875108582,6602527.35856006
"9",Z,499284.078227361,6602235.30111986
"10",C1,502069.156736414,6603027.18381676
"11",V1,501311.027112935,6602954.6783927
"14",Z3,500166.381729377,6602204.93574702
"15",Z5,500528.569111582,6602338.0776226
"16",Z6,501102.409064786,6602548.40742522
"17",Z7,501822.840400164,6602811.93744159
"18",Z8,502585.421273557,6603091.17629498
"19",Z9,503281.841310395,6603352.72777352
,L2,499421.421319391,6601932.54785014
,L1,498996.351339516,6601776.37198494
